date,product,category,quantity,price,total
2024-01-05,מחשב נייד,אלקטרוניקה,2,3500,7000
2024-01-07,עכבר,אלקטרוניקה,15,50,750
2024-01-10,מקלדת,אלקטרוניקה,10,120,1200
2024-01-12,שולחן,ריהוט,3,800,2400
2024-01-15,כיסא,ריהוט,8,350,2800
2024-01-18,מדפסה,אלקטרוניקה,4,600,2400
2024-01-20,מנורה,ריהוט,12,180,2160
2024-01-25,טאבלט,אלקטרוניקה,6,1200,7200
2024-01-28,ארון,ריהוט,2,1500,3000
2024-02-02,סמארטפון,אלקטרוניקה,10,2500,25000
2024-02-05,אוזניות,אלקטרוניקה,20,150,3000
2024-02-08,ספה,ריהוט,1,4500,4500
2024-02-12,מצלמה,אלקטרוניקה,3,1800,5400
2024-02-15,שטיח,ריהוט,5,600,3000
2024-02-20,טלוויזיה,אלקטרוניקה,4,3200,12800
