Question,Choice 1,Choice 2,Choice 3,Choice 4,Correct Answer
"מה יודפס בקוד הבא?

numbers = [10, 20, 30, 40, 50]
print(numbers[2])","10","20","30","40","Choice 3"
"איזו פונקציה מחזירה את האורך של רשימה?","size(list)","length(list)","len(list)","count(list)","Choice 3"
"מה התוצאה של הקוד הבא?

x = [1, 2, 3]
y = x
y.append(4)
print(x)","[1, 2, 3]","[1, 2, 3, 4]","[4]","שגיאה","Choice 2"
"איך ניגשים לערך במילון?

person = {""name"": ""דני"", ""age"": 25}","person[0]","person.name","person[""name""]","person->name","Choice 3"
"מה יקרה בקוד הבא?

def greet(name):
    return ""שלום "" + name

result = greet(""שרה"")","יודפס שלום שרה","result יכיל את המחרוזת שלום שרה","שגיאה - חסר print","result יהיה None","Choice 2"
"איך קוראים קובץ טקסט בפייתון?","file = open(""data.txt"", ""r"")","file = read(""data.txt"")","file = load(""data.txt"")","file = import(""data.txt"")","Choice 1"
"מה יודפס בקוד הבא?

for i in range(3):
    print(i)","1 2 3","0 1 2","0 1 2 3","1 2","Choice 2"
"איך בודקים אם מפתח קיים במילון?

data = {""city"": ""תל אביב"", ""temp"": 28}","""city"" in data","data.has(""city"")","data.contains(""city"")","exists(data, ""city"")","Choice 1"
"מה הבעיה בקוד הבא?

class Car:
    def __init__(color):
        self.color = color","חסר self בפרמטרים של __init__","color צריך להיות self.color","חסר return","שם המחלקה צריך להיות באותיות קטנות","Choice 1"
"מה יחזיר הקוד הבא?

numbers = [1, 2, 3, 4, 5]
result = [x * 2 for x in numbers if x > 2]
print(result)","[2, 4, 6, 8, 10]","[6, 8, 10]","[3, 4, 5]","[4, 6, 8]","Choice 2"
